Embalse,Agua embalsada (08-04-2024):hm3,Variacion semana Anterior:hm3,Capacidad:hm3,Misma Semana (2023):hm3,Misma Semana (Med. 10 Años):hm3,Cuenca:,Provincia:,Municipio Presa:,Rio:,Tipo de Presa:,Año de construccion (Final):,Superficie:,Localizacion:,Abastecimiento:,Riego:,Electricidad:,Industrial:,Pesca:,Navegación:,Baño:,Pic-nic:,Restaurantes:,Pluviometros,Longitud,Latitud
linares-de-riofrio,0,0,0,0,0,Tajo,Salamanca,LINARES DE RIOFRIO,AYO. HONFRIA,Gravedad,0,0.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['La Covatilla', 'Pedrosillo de Los Aires', 'Boadilla Fuente San Esteban', 'El Maíllo', 'Nuñomoral']",-5.9395947727178,40.581093044659
los-arroyos,0,0,1,0,0,Tajo,Madrid,"ESCORIAL, EL",LADRON,Gravedad,1967,13.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['San Rafael', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo', 'Villanueva de la Cañada']",-4.0500044242485,40.592030973179
los-carbajales,0,0,0,0,0,Tajo,Toledo,LA PUEBLANUEVA,ARROYO DEL CHORRO,Materiales sueltos homogenea,1978,22.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navahermosa', 'Rozas de Puerto Real', 'Castillo de Bayuela', 'Talavera de la Reina', 'Sotillo de la Adrada']",-4.713306427001953,39.95159574030588
los-morales,0,0,2,0,0,Tajo,Madrid,ROZAS DE PUERTO REAL,MORALES,Hormigón Compactado,1988,32.67 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Rozas de Puerto Real', 'Cebreros', 'Robledo de Chavela', 'Castillo de Bayuela', 'Sotillo de la Adrada']",-4.5188856445419,40.318360445011
los-palancares,0,0,0,0,0,Tajo,Madrid,SOTO DEL REAL,ARROYO DEL MEDIANO,Materiales sueltos homogenea,1981,7.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto de Navacerrada', 'Rascafría', 'Madrid, El Goloso', 'Colmenar Viejo', 'Alpedrete']",-3.8146850779534,40.774102412784
los-penascales,0,0,0,0,0,Tajo,Madrid,TORRELODONES,ARROYO TROFA,Gravedad,1962,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Colmenar Viejo', 'Pozuelo de Alarcón', 'Alpedrete', 'Valdemorillo', 'Villanueva de la Cañada']",-3.8980431160097,40.575295032239
los-prados-de-casa-judio,0,0,0,0,0,Tajo,Caceres,PLASENCIA,ARROYO VALLE DEL JUDIO,Materiales sueltos homogenea,0,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Serradilla', 'Cañaveral', 'Guijo de Granadilla', 'Montehermoso', 'Plasencia']",-6.166248321533203,39.974554936522644
los-rosales,0,0,0,0,0,Tajo,Madrid,GALAPAGAR,PRADERA,Gravedad,1968,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Colmenar Viejo', 'Puerto Alto del León', 'Alpedrete', 'Valdemorillo', 'Villanueva de la Cañada']",-3.9668634688749,40.604017713232
madroneras,0,0,0,0,0,Tajo,Caceres,MADROÑERA,ARROYO AGUIJAR,Gravedad,1973,13.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navalvillar de Ibor', 'Jaraicejo', 'Trujillo', 'Trujillo', 'Zorita']",-5.699565410614014,39.457485351272155
malpartida-de-plasencia,0,0,0,0,0,Tajo,Caceres,MALPARTIDA DE PLASENCIA,PILONES,Gravedad,1972,3.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Garganta de la Olla', 'Guijo de Granadilla', 'Hervás', 'Piornal', 'Plasencia']",-5.9881374825097,40.050127392962
manufacturas-bejar,0,0,0,0,0,Tajo,Salamanca,BEJAR,RIOFRIO,Gravedad,1940,2.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['La Covatilla', 'Barco de Avila', 'Hervás', 'Tornavacas', 'Piornal']",-5.748424530029297,40.392797259323444
mascalinas,0,0,0,0,0,Tajo,Caceres,MADROÑERA,MASCALINAS(ARROYO MASCALINAS),Materiales sueltos homogenea,1978,3.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Navalvillar de Ibor', 'Jaraicejo', 'Trujillo', 'Trujillo', 'Zorita']",-5.7403533069248,39.494142221989
mata-de-alcantara-ii,0,0,0,0,0,Tajo,Caceres,MATA DE ALCANTARA,TOSTADOS,Gravedad,1990,33.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cañaveral', 'Coria', 'Zarza La Mayor', 'Aliseda', 'Brozas']",-6.80877685546875,39.69503584333047
membrio,0,0,1,0,0,Tajo,Caceres,MEMBRIO,MEMBRIO,Materiales sueltos homogenea,1978,28.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Zarza La Mayor', 'Aliseda', 'Brozas', 'Valencia de Alcántara', 'Alburquerque']",-7.0628903803313,39.523823123635
minchones,0,0,0,0,0,Tajo,Caceres,VILLANUEVA DE LA VERA,GARGANTA DE MINCHONES,Gravedad,1983,3.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Barco de Avila', 'Candeleda', 'Madrigal de la Vera', 'Navalmoral de la Mata', 'Tornavacas']",-5.4061390947486,40.142508357781
miraflores-de-la-sierra,0,0,1,0,0,Tajo,Madrid,MIRAFLORES DE LA SIERRA,MIRAFLORES,Materiales sueltos núcleo arcilla,1975,5.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Puerto de Navacerrada', 'Rascafría', 'Buitrago del Lozoya', 'Colmenar Viejo', 'Alpedrete']",-3.7955048596732,40.825133826853
molino-de-cabra,0,0,0,0,0,Tajo,Caceres,"MATA DE ALCANTARA, VILLA DEL REY",JARTIN,Materiales sueltos y mampostería,1850,4.00 ha,Ver Mapa,False,False,False,False,False,False,False,False,False,"['Cañaveral', 'Coria', 'Zarza La Mayor', 'Aliseda', 'Brozas']",0,0
